"phase","is_practice","round","MSIT_trial_type","trial_duration","fixation_duration","stimulus","rt","key_press","correct_response","correct","is_missed","MSIT_trials_performed","time_elapsed","worker_ID","match_screen_side","n_matches","mismatch_screen_side","n_mismatches","demand_selection_trials_performed","message_duration","event","trial","time"
"MSIT","true","0","matching","1000","250","1 1 3","577.22500001546","3","3","true","false","1","9110","","","","","","","","","",""
"MSIT","true","0","matching","1000","250","1 2 1","481.9300000090152","2","2","true","false","2","9852","","","","","","","","","",""
"MSIT","true","0","matching","1000","250","1 2 2","499.45000000298023","1","1","true","false","3","10607","","","","","","","","","",""
"MSIT","true","0","matching","1000","250","2 2 3","577.4400000227615","3","3","true","false","4","11439","","","","","","","","","",""
"MSIT","true","0","mismatching","1000","250","2 1 1","523.4049999853596","2","2","true","false","1","15748","","","","","","","","","",""
"MSIT","true","0","mismatching","1000","250","2 3 3","542.795000015758","2","2","true","false","2","16547","","","","","","","","","",""
"MSIT","true","0","mismatching","1000","250","3 1 3","499.58500009961426","1","1","true","false","3","17301","","","","","","","","","",""
"MSIT","true","0","mismatching","1000","250","3 2 2","783.4800001000986","3","3","true","false","4","18341","","","","","","","","","",""
"demand selection","true","0","","3000","","","","rightarrow","","","false","","31139","","right","6","left","9","1","500","","",""
"demand selection","true","0","","3000","","","","leftarrow","","","false","","32206","","right","10","left","1","2","500","","",""
"MSIT","true","0","mismatching","1000","250","2 1 1","478.33499999251217","2","2","true","false","1","33441","","","","","","","","","",""
"demand selection","true","0","","3000","","","","leftarrow","","","false","","34293","","left","5","right","5","3","500","","",""
"demand selection","true","0","","3000","","","","rightarrow","","","false","","36033","","left","15","right","9","4","500","","",""
"MSIT","true","0","mismatching","1000","250","3 1 1","508.5550000658259","3","3","true","false","1","37296","","","","","","","","","",""
"MSIT","true","0","mismatching","1000","250","2 3 2","499.36000001616776","3","3","true","false","2","38050","","","","","","","","","",""
"MSIT","true","0","mismatching","1000","250","2 1 1","452.5399999693036","2","2","true","false","3","38754","","","","","","","","","",""
"MSIT","true","0","mismatching","1000","250","2 3 3","516.8300000950694","2","2","true","false","4","39527","","","","","","","","","",""
"MSIT","true","0","mismatching","1000","250","2 3 2","608.2249999744818","3","3","true","false","5","40390","","","","","","","","","",""
"MSIT","true","0","mismatching","1000","250","3 3 1","631.0750000411645","1","1","true","false","6","41275","","","","","","","","","",""
"MSIT","true","0","mismatching","1000","250","2 1 2","498.74000006821007","2","1","false","false","7","42030","","","","","","","","","",""
"MSIT","true","0","mismatching","1000","250","2 1 1","470.85499996319413","2","2","true","false","8","42757","","","","","","","","","",""
"MSIT","true","0","mismatching","1000","250","2 3 2","503.52000002749264","3","3","true","false","9","43517","","","","","","","","","",""
"demand selection","false","1","","3000","","","","leftarrow","","","false","","45745","","left","6","right","9","1","500","","",""
"MSIT","false","1","matching","1000","250","1 2 1","425.21999997552484","2","2","true","false","1","46926","","","","","","","","","",""
"MSIT","false","1","matching","1000","250","2 2 3","512.8600000170991","3","3","true","false","2","47692","","","","","","","","","",""
"MSIT","false","1","matching","1000","250","3 2 3","487.834999919869","2","2","true","false","3","48436","","","","","","","","","",""
"MSIT","false","1","matching","1000","250","2 2 3","553.965000086464","3","3","true","false","4","49241","","","","","","","","","",""
"MSIT","false","1","matching","1000","250","1 3 3","438.7400000123307","1","1","true","false","5","49934","","","","","","","","","",""
"MSIT","false","1","matching","1000","250","3 2 3","483.0250000813976","2","2","true","false","6","50670","","","","","","","","","",""
"demand selection","false","1","","3000","","","","rightarrow","","","false","","52668","","left","12","right","3","2","500","","",""
"MSIT","false","1","mismatching","1000","250","3 1 1","497.82999989110976","3","3","true","false","1","53923","","","","","","","","","",""
"MSIT","false","1","mismatching","1000","250","2 3 2","457.89499999955297","3","3","true","false","2","54636","","","","","","","","","",""
"MSIT","false","1","mismatching","1000","250","3 3 2","446.09500002115965","3","2","false","false","3","55339","","","","","","","","","",""
"demand selection","false","1","","3000","","","","leftarrow","","","false","","56475","","right","14","left","7","3","500","","",""
"MSIT","false","1","mismatching","1000","250","3 1 1","494.7399999946356","3","3","true","false","1","57723","","","","","","","","","",""
"MSIT","false","1","mismatching","1000","250","3 1 1","458.26999994460493","3","3","true","false","2","58433","","","","","","","","","",""
"MSIT","false","1","mismatching","1000","250","2 2 1","595.0100000482053","1","1","true","false","3","59279","","","","","","","","","",""
"MSIT","false","1","mismatching","1000","250","3 1 3","470.6349999178201","1","1","true","false","4","60003","","","","","","","","","",""
"MSIT","false","1","mismatching","1000","250","3 1 1","549.3249999126419","3","3","true","false","5","60809","","","","","","","","","",""
"MSIT","false","1","mismatching","1000","250","2 3 3","586.2649999326095","2","2","true","false","6","61649","","","","","","","","","",""
"MSIT","false","1","mismatching","1000","250","3 3 1","704.8499999800697","1","1","true","false","7","62608","","","","","","","","","",""
"demand selection","false","1","","3000","","","","leftarrow","","","false","","63750","","right","10","left","1","4","500","","",""
"demand selection","false","1","","3000","","","","rightarrow","","","false","","65724","","left","15","right","9","5","500","","",""
"MSIT","false","1","mismatching","1000","250","3 3 2","618.3700000401586","2","2","true","false","1","67101","","","","","","","","","",""
"MSIT","false","1","mismatching","1000","250","3 1 3","538.8200000161305","1","1","true","false","2","67892","","","","","","","","","",""
"MSIT","false","1","mismatching","1000","250","3 1 1","486.4150000503287","3","3","true","false","3","68635","","","","","","","","","",""
"MSIT","false","1","mismatching","1000","250","1 1 2","958.8549999753013","2","2","true","false","4","69849","","","","","","","","","",""
"MSIT","false","1","mismatching","1000","250","3 1 1","418.7000000383705","2","3","false","false","5","70520","","","","","","","","","",""
"MSIT","false","1","mismatching","1000","250","2 2 1","547.0049999421462","1","1","true","false","6","71319","","","","","","","","","",""
"MSIT","false","1","mismatching","1000","250","3 3 1","849.9800000572577","1","1","true","false","7","72425","","","","","","","","","",""
"MSIT","false","1","mismatching","1000","250","2 3 3","622.7700000163168","2","2","true","false","8","73302","","","","","","","","","",""
"MSIT","false","1","mismatching","1000","250","2 3 2","591.0100000910461","3","3","true","false","9","74144","","","","","","","","","",""
"demand selection","false","1","","3000","","","","rightarrow","","","false","","75294","","left","13","right","3","6","500","","",""
"demand selection","false","1","","3000","","","","rightarrow","","","false","","76375","","left","8","right","2","7","500","","",""
"demand selection","false","1","","3000","","","","null","","","true","","79880","","right","2","left","3","8","500","","",""
"MSIT","false","1","matching","1000","250","3 2 3","670.6349999876693","2","2","true","false","1","81315","","","","","","","","","",""
"MSIT","false","1","matching","1000","250","1 1 3","607.4200000148267","3","3","true","false","2","82175","","","","","","","","","",""
"demand selection","false","1","","3000","","","","leftarrow","","","false","","82931","","right","16","left","6","9","500","","",""
"MSIT","false","1","mismatching","1000","250","1 3 1","null","null","3","null","true","1","84692","","","","","","","","","",""
"MSIT","false","1","mismatching","1000","250","3 3 1","609.2550000175834","1","1","true","false","2","85557","","","","","","","","","",""
"MSIT","false","1","mismatching","1000","250","2 1 1","990.2749999891967","2","2","true","false","3","86803","","","","","","","","","",""
"MSIT","false","1","mismatching","1000","250","1 1 2","582.4749999446794","2","2","true","false","4","87641","","","","","","","","","",""
"MSIT","false","1","mismatching","1000","250","3 1 3","526.4350000070408","1","1","true","false","5","88421","","","","","","","","","",""
"MSIT","false","1","mismatching","1000","250","1 3 1","494.01000002399087","3","3","true","false","6","89166","","","","","","","","","",""
"demand selection","false","1","","3000","","","","rightarrow","","","false","","90362","","right","8","left","12","10","500","","",""
"MSIT","false","1","matching","1000","250","1 2 1","404.2500000214204","2","2","true","false","1","91523","","","","","","","","","",""
"MSIT","false","1","matching","1000","250","1 2 2","576.9249999430031","1","1","true","false","2","92354","","","","","","","","","",""
"MSIT","false","1","matching","1000","250","1 2 1","465.1150000281632","2","2","true","false","3","93072","","","","","","","","","",""
"MSIT","false","1","matching","1000","250","1 2 1","425.2800000831485","2","2","true","false","4","93757","","","","","","","","","",""
"MSIT","false","1","matching","1000","250","2 2 3","531.139999977313","3","3","true","false","5","94540","","","","","","","","","",""
"MSIT","false","1","matching","1000","250","1 2 1","571.8999999808148","2","2","true","false","6","95368","","","","","","","","","",""
"MSIT","false","1","matching","1000","250","1 2 2","468.0899999802932","1","1","true","false","7","96089","","","","","","","","","",""
"MSIT","false","1","matching","1000","250","3 2 3","476.08999989461154","2","2","true","false","8","96821","","","","","","","","","",""
"demand selection","false","1","","3000","","","","leftarrow","","","false","","97457","","right","9","left","6","11","500","","",""
"demand selection","false","1","","3000","","","","leftarrow","","","false","","98732","","left","12","right","7","12","500","","",""
"demand selection","false","1","","3000","","","","rightarrow","","","false","","99801","","left","8","right","1","13","500","","",""
"MSIT","false","1","mismatching","1000","250","1 1 2","574.8650000896305","2","2","true","false","1","101132","","","","","","","","","",""
"demand selection","false","1","","3000","","","","rightarrow","","","false","","101734","","left","6","right","3","14","500","","",""
"MSIT","false","1","mismatching","1000","250","3 3 2","null","null","2","null","true","1","103495","","","","","","","","","",""
"MSIT","false","1","mismatching","1000","250","3 1 3","null","null","1","null","true","2","104751","","","","","","","","","",""
"MSIT","false","1","mismatching","1000","250","1 3 1","null","null","3","null","true","3","106008","","","","","","","","","",""
"demand selection","false","1","","3000","","","","null","","","true","","109669","","left","9","right","3","15","500","","",""
"demand selection","false","1","","3000","","","","rightarrow","","","false","","114290","","right","10","left","10","16","500","","",""
"demand selection","false","1","","3000","","","","leftarrow","","","false","","115374","","right","13","left","1","17","500","","",""
"MSIT","false","1","mismatching","1000","250","3 1 1","514.3050000770018","3","3","true","false","1","116642","","","","","","","","","",""
"demand selection","false","1","","3000","","","","leftarrow","","","false","","117459","","right","11","left","4","18","500","","",""
"MSIT","false","1","mismatching","1000","250","3 3 2","569.565000012517","2","2","true","false","1","118784","","","","","","","","","",""
"MSIT","false","1","mismatching","1000","250","3 1 3","514.1950000543147","1","1","true","false","2","119555","","","","","","","","","",""
"MSIT","false","1","mismatching","1000","250","3 1 3","491.28999991808087","1","1","true","false","3","120300","","","","","","","","","",""
"MSIT","false","1","mismatching","1000","250","2 2 1","621.625000028871","1","1","true","false","4","121175","","","","","","","","","",""
"demand selection","false","1","","3000","","","","leftarrow","","","false","","122078","","left","3","right","3","19","500","","",""
"demand selection","false","1","","3000","","","","leftarrow","","","false","","123544","","right","6","left","2","20","500","","",""
"demand selection","false","1","","3000","","","","null","","","true","","127148","","right","12","left","8","21","500","","",""
"MSIT","false","1","mismatching","1000","250","3 1 3","null","null","1","null","true","1","131370","","","","","","","","","",""
"MSIT","false","1","mismatching","1000","250","2 1 2","null","null","1","null","true","2","134393","","","","","","","","","",""
"MSIT","false","1","mismatching","1000","250","3 1 3","null","null","1","null","true","3","138106","","","","","","","","","",""
"MSIT","false","1","mismatching","1000","250","2 3 2","null","null","3","null","true","4","142135","","","","","","","","","",""
"MSIT","false","1","mismatching","1000","250","2 2 1","null","null","1","null","true","5","144633","","","","","","","","","",""
"MSIT","false","1","mismatching","1000","250","3 2 2","588.6650000466034","3","3","true","false","6","145474","","","","","","","","","",""
"MSIT","false","1","mismatching","1000","250","2 1 1","496.57999991904944","2","2","true","false","7","146223","","","","","","","","","",""
"MSIT","false","1","mismatching","1000","250","2 2 1","598.0899999849498","1","1","true","false","8","147076","","","","","","","","","",""
"demand selection","false","1","","3000","","","","leftarrow","","","false","","148498","","right","16","left","7","22","500","","",""
"MSIT","false","1","mismatching","1000","250","3 1 3","519.0650000004098","1","1","true","false","1","149774","","","","","","","","","",""
"MSIT","false","1","mismatching","1000","250","1 1 2","631.4749999437481","2","2","true","false","2","150659","","","","","","","","","",""
"MSIT","false","1","mismatching","1000","250","3 1 3","519.7349999798462","1","1","true","false","3","151431","","","","","","","","","",""
"MSIT","false","1","mismatching","1000","250","2 3 3","481.5350000280887","2","2","true","false","4","152164","","","","","","","","","",""
"MSIT","false","1","mismatching","1000","250","2 2 1","537.3299999628216","1","1","true","false","5","152955","","","","","","","","","",""
"MSIT","false","1","mismatching","1000","250","1 3 1","509.30500007234514","3","3","true","false","6","153718","","","","","","","","","",""
"MSIT","false","1","mismatching","1000","250","1 3 1","441.7550000362098","3","3","true","false","7","154411","","","","","","","","","",""
"demand selection","false","1","","3000","","","","leftarrow","","","false","","155079","","right","15","left","3","23","500","","",""
"demand selection","false","1","","3000","","","","rightarrow","","","false","","156207","","left","10","right","5","24","500","","",""
"demand selection","false","1","","3000","","","","rightarrow","","","false","","157319","","left","5","right","1","25","500","","",""
"demand selection","false","1","","3000","","","","rightarrow","","","false","","158753","","left","16","right","10","26","500","","",""
"demand selection","false","1","","3000","","","","rightarrow","","","false","","159883","","left","16","right","4","27","500","","",""
"demand selection","false","1","","3000","","","","leftarrow","","","false","","161173","","right","14","left","2","28","500","","",""
"MSIT","false","1","mismatching","1000","250","3 2 2","508.7849999545142","3","3","true","false","1","162436","","","","","","","","","",""
"MSIT","false","1","mismatching","1000","250","2 1 1","416.13499994855374","2","2","true","false","2","163105","","","","","","","","","",""
"demand selection","false","1","","3000","","","","rightarrow","","","false","","163862","","left","3","right","2","29","500","","",""
"MSIT","false","1","mismatching","1000","250","3 3 1","null","null","1","null","true","1","165619","","","","","","","","","",""
"MSIT","false","1","mismatching","1000","250","1 3 1","null","null","3","null","true","2","168154","","","","","","","","","",""
"demand selection","false","1","","3000","","","","null","","","true","","173462","","right","16","left","8","30","500","","",""
"MSIT","false","1","matching","1000","250","1 2 2","null","null","1","null","true","1","177801","","","","","","","","","",""
"MSIT","false","1","matching","1000","250","1 3 3","null","null","1","null","true","2","180170","","","","","","","","","",""
"MSIT","false","1","matching","1000","250","3 2 3","null","null","2","null","true","3","182608","","","","","","","","","",""
"MSIT","false","1","matching","1000","250","1 2 2","588.6399999726564","1","1","true","false","4","183450","","","","","","","","","",""
"MSIT","false","1","matching","1000","250","1 1 3","522.1700000111014","3","3","true","false","5","184225","","","","","","","","","",""
"MSIT","false","1","matching","1000","250","2 2 3","667.3500000033528","3","3","true","false","6","185144","","","","","","","","","",""
"MSIT","false","1","matching","1000","250","2 2 3","561.479999916628","3","3","true","false","7","185957","","","","","","","","","",""
"MSIT","false","1","matching","1000","250","1 2 2","473.43500005081296","1","1","true","false","8","186686","","","","","","","","","",""
"MSIT","false","1","matching","1000","250","1 3 3","411.4749999716878","1","1","true","false","9","187349","","","","","","","","","",""
"MSIT","false","1","matching","1000","250","3 2 3","616.2550000008196","2","2","true","false","10","188219","","","","","","","","","",""
"MSIT","false","1","matching","1000","250","1 2 2","594.1999999340624","1","1","true","false","11","189064","","","","","","","","","",""
"MSIT","false","1","matching","1000","250","1 2 2","396.04500005953014","1","1","true","false","12","189716","","","","","","","","","",""
"MSIT","false","1","matching","1000","250","2 2 3","543.3950000442564","3","3","true","false","13","190512","","","","","","","","","",""
"MSIT","false","1","matching","1000","250","1 2 1","450.25500003248453","2","2","true","false","14","191214","","","","","","","","","",""
"MSIT","false","1","matching","1000","250","1 1 3","517.7700000349432","3","3","true","false","15","191983","","","","","","","","","",""
"MSIT","false","1","matching","1000","250","1 2 2","443.2100000558421","2","1","false","false","16","192679","","","","","","","","","",""
"demand selection","false","1","","3000","","","","leftarrow","","","false","","193319","","right","12","left","4","31","500","","",""
